model,fold,lrap,label_ranking_loss,coverage_error,hamming_loss,micro_f1,macro_f1,prediction_density,top1_hit_rate,top3_hit_rate
extra_trees,1,0.9405919316527869,0.008081247322798994,6.472972972972973,0.012522522522522523,0.8901185770750988,0.5854757091173506,0.053603603603603604,0.9527027027027027,0.9864864864864865
extra_trees,2,0.9327406722003281,0.012462716469771153,5.905405405405405,0.01036036036036036,0.9044056525353283,0.5557518490135175,0.05315315315315315,0.9324324324324325,0.9797297297297297
extra_trees,3,0.9236972929725031,0.007372549541581224,5.851351351351352,0.014684684684684684,0.8583840139009556,0.5560334708961222,0.04963963963963964,0.9391891891891891,0.9932432432432432
extra_trees,4,0.9359108079259707,0.006497789670520629,6.135135135135135,0.012612612612612612,0.8854337152209493,0.5713660039886898,0.05333333333333334,0.9527027027027027,0.9932432432432432
extra_trees,5,0.9317631289588291,0.009992582115542957,6.095238095238095,0.011428571428571429,0.8923076923076924,0.6089294369176913,0.0508843537414966,0.9387755102040817,0.9863945578231292
linear_svm,1,0.8457733183160616,0.03949568882463336,12.95945945945946,0.03810810810810811,0.7229862475442044,0.5492927857744306,0.07720720720720721,0.8851351351351351,0.9797297297297297
linear_svm,2,0.862063020742046,0.05268083190532843,15.425675675675675,0.033873873873873875,0.7363253856942497,0.5256279256679117,0.07324324324324324,0.918918918918919,0.972972972972973
linear_svm,3,0.8523903612449021,0.03299780998724556,11.371621621621621,0.03423423423423423,0.7250361794500724,0.5071345412314938,0.07045045045045045,0.8986486486486487,0.9662162162162162
linear_svm,4,0.8825439800488493,0.03304515157015249,12.608108108108109,0.02027027027027027,0.8240813135261923,0.5454942258652274,0.05846846846846847,0.9527027027027027,0.9797297297297297
linear_svm,5,0.8378359670310438,0.04051095873621524,12.965986394557824,0.04852607709750567,0.6563904945407836,0.5693644059829517,0.08598639455782313,0.8843537414965986,0.9863945578231292
knn_distance,1,0.8987799960791034,0.03325026283879086,13.162162162162161,0.016216216216216217,0.859594383775351,0.5544509035346453,0.055135135135135134,0.918918918918919,0.9864864864864865
knn_distance,2,0.8916861330030973,0.03430608221373606,11.06081081081081,0.015495495495495495,0.8549747048903878,0.48981666690413495,0.05162162162162162,0.9054054054054054,0.9594594594594594
knn_distance,3,0.8842972053686342,0.02719979168419097,10.925675675675675,0.018468468468468467,0.8222029488291414,0.5203061560593126,0.04981981981981982,0.8986486486486487,0.9527027027027027
knn_distance,4,0.9050830100475585,0.028987682022719723,12.445945945945946,0.017477477477477476,0.8396694214876033,0.5121212743079326,0.05225225225225225,0.9324324324324325,0.9797297297297297
knn_distance,5,0.8971577955032766,0.03778776257897373,12.013605442176871,0.01596371882086168,0.8477508650519031,0.5282639676350751,0.049614512471655325,0.9387755102040817,0.9727891156462585
logistic_regression_l1,1,0.9068497110889939,0.018781227612725025,8.695945945945946,0.02081081081081081,0.8387997208653175,0.6246077648522732,0.06873873873873874,0.9391891891891891,0.9864864864864865
logistic_regression_l1,2,0.8948293268116349,0.025203096608856432,8.567567567567568,0.02081081081081081,0.8267066766691673,0.5333226185232437,0.06486486486486487,0.918918918918919,0.972972972972973
logistic_regression_l1,3,0.8930408023875497,0.012736492171666189,7.013513513513513,0.021621621621621623,0.8165137614678899,0.5757629313378234,0.06378378378378378,0.9121621621621622,1.0
logistic_regression_l1,4,0.9013424260710216,0.011934132365446399,7.087837837837838,0.023513513513513513,0.8090709583028529,0.5556420195967858,0.0663963963963964,0.9391891891891891,0.9864864864864865
logistic_regression_l1,5,0.9092817622181699,0.01573857109995081,7.619047619047619,0.019682539682539683,0.8344774980930587,0.5792581115441596,0.0636734693877551,0.9523809523809523,0.9863945578231292
